code,yahoo,name_en,name_zh,market_cap_100m_hkd,board_lot,category,sub_category,price,open,high,low,volume,turnover_proxy,ma5,ma10,dev5,dev10,gain1,gain3,gain5,year_prev_high,three_year_prev_high,history_prev_high,year_high,three_year_high,year_high_breakout,three_year_high_breakout,all_time_high_breakout,year_high_distance,three_year_high_distance,consecutive_3d_gain,consecutive_5d_gain,break_pullback_ma5,break_ma5_pullback_ma10,new_year_high,new_3y_high,new_all_time_high,near_year_high_10pct,near_3y_high_10pct,base_date
0019,0019.HK,SWIRE PACIFIC A,太古股份公司Ａ,817.94,500,Equity,Equity Securities (Main Board),105.0,106.0,106.0,103.2,884956,92.92,104.8,104.15,0.19,0.82,-0.38,-0.1,-0.19,106.0,106.0,106.0,106.0,106.0,0.0,0.0,0.0,0.94,0.94,False,False,True,True,False,False,False,True,True,2026-08-28
0020,0020.HK,SENSETIME-W,商汤－Ｗ,617.26,"1,000",Equity,Equity Securities (Main Board),1.48,1.43,1.54,1.42,944671365,1398.11,1.471,1.478,0.61,0.14,3.86,-1.99,-2.31,2.8,2.94,9.7,2.8,2.94,-45.0,-47.62,-84.12,47.14,49.66,False,False,False,True,False,False,False,False,False,2026-08-28
0021,0021.HK,GREAT CHI HLDGS,大中华控股,3.26,"5,000",Equity,Equity Securities (Main Board),0.082,0.081,0.081,0.081,85000,0.01,0.082,0.093,0.24,-11.73,0.0,1.23,-21.9,0.13,0.18,0.35,0.13,0.18,-37.21,-55.0,-76.86,36.43,54.44,False,False,False,False,False,False,False,False,False,2026-08-28
0022,0022.HK,MEXAN,茂盛控股,0.67,"2,000",Equity,Equity Securities (Main Board),1.705,1.7,1.7,1.7,9300,0.02,1.705,1.715,0.0,-0.55,-0.29,0.89,-0.58,18.5,18.5,19.25,18.5,18.5,-90.81,-90.81,-91.17,90.78,90.78,False,False,False,False,False,False,False,False,False,2026-08-28
0023,0023.HK,BANK OF E ASIA,东亚银行,482.32,200,Equity,Equity Securities (Main Board),18.24,17.5,18.45,17.5,8085148,147.47,17.628,17.131,3.47,6.47,4.23,5.31,7.23,18.1,18.1,36.0,18.45,18.45,1.93,1.93,-48.75,1.14,1.14,True,False,False,False,True,True,False,True,True,2026-08-28
0026,0026.HK,CHINA MOTOR BUS,中华汽车,26.68,200,Equity,Equity Securities (Main Board),59.0,59.0,59.5,58.0,9600,0.57,58.98,58.57,0.03,0.73,0.85,-1.01,0.34,62.0,67.6,134.6,62.0,67.6,-4.03,-11.98,-55.79,4.84,12.72,False,False,False,True,False,False,False,True,False,2026-08-28
0027,0027.HK,GALAXY ENT,银河娱乐,1482.81,"1,000",Equity,Equity Securities (Main Board),33.86,34.36,34.36,33.62,9724285,329.26,34.716,34.948,-2.47,-3.11,-1.46,-2.53,-5.94,44.22,53.0,80.3,44.22,53.0,-22.3,-35.17,-57.21,23.43,36.11,False,False,False,False,False,False,False,False,False,2026-08-28
0028,0028.HK,TIAN AN,天安,49.63,"1,000",Equity,Equity Securities (Main Board),3.385,3.4,3.405,3.38,45000,0.15,3.442,3.491,-1.66,-3.05,-0.73,-3.29,-4.38,4.95,5.55,6.78,4.95,5.55,-31.21,-38.65,-49.81,31.62,39.01,False,False,False,False,False,False,False,False,False,2026-08-28
0030,0030.HK,YNBY INTL,云白国际,21.4,"2,000",Equity,Equity Securities (Main Board),0.227,0.237,0.237,0.227,196000,0.04,0.238,0.242,-4.62,-6.04,-4.22,-8.84,-7.35,0.31,0.31,0.57,0.31,0.31,-24.76,-24.76,-58.42,27.94,27.94,False,False,False,False,False,False,False,False,False,2026-08-28
0031,0031.HK,CHINA AEROSPACE,航天控股,14.96,"2,000",Equity,Equity Securities (Main Board),0.485,0.485,0.49,0.475,1511000,0.73,0.483,0.498,0.41,-2.61,0.0,1.04,-1.02,0.78,0.85,1.15,0.78,0.85,-37.18,-42.35,-57.39,37.82,42.94,False,False,True,False,False,False,False,False,False,2026-08-28
